customer_id,name,email,phone,address,credit_score,join_date,last_update,customer_type
C1000,James Hunter,james.hunter@aol.com,(668) 264-0910,"7077 Jerry Glens Apt. 035, Kellerberg, IL 02617",800,2017-01-08,2023-01-20 00:00:00,regular
C1001,Michelle Brown,michelle.brown@gmail.com,(908) 693-0060,"16687 Kimberly Street Suite 108, Kaylaport, MN 19665",708,2017-01-11,2023-07-07 00:00:00,regular
C1002,Colleen Lewis,colleen.lewis@gmail.com,(665) 952-0808,"39731 Hale Valleys Suite 767, Bassborough, WV 16560",553,2017-01-17,2023-12-10 00:00:00,regular
C1003,Anthony Walton,anthony.walton@gmail.com,(697) 603-9325,"9486 Montgomery Underpass Suite 698, East Michaelfurt, GA 88602",597,2017-01-18,2023-08-24 00:00:00,regular
C1004,Angel Ritter,angel.ritter@yahoo.com,(151) 460-8918,"204 Stephanie Squares, Rothbury, NM 06634",750,2017-01-28,2023-06-13 00:00:00,regular
C1005,Brian Nguyen,brian.nguyen@hotmail.com,(771) 766-5288,"05330 Mayer Villages Apt. 722, Lake Amber, WA 79514",684,2017-01-28,2023-08-09 00:00:00,VIP
C1006,Adam Davis,adam.davis@hotmail.com,(001) 521-5663,"53157 James Walk Apt. 406, Andrewview, RI 25819",805,2017-02-01,2023-09-20 00:00:00,regular
C1007,Donna Castro,donna.castro@yahoo.com,(165) 491-7467,"541 Nicholas Fields, Thomasmouth, PR 72929",552,2017-02-03,2023-12-11 00:00:00,regular
C1008,Corey Kelly,corey.kelly@yahoo.com,(653) 697-8521,"58369 Robin Haven, East Danielmouth, MI 03787",823,2017-02-03,2023-09-23 00:00:00,regular
C1009,Kirk Moreno,kirk.moreno@aol.com,(387) 656-5411,"5189 Natalie Courts, East Debbie, MO 88741",504,2017-02-03,2023-03-16 00:00:00,regular
C1010,Ronnie Watkins,ronnie.watkins@hotmail.com,(965) 462-2959,"321 Robert Loaf Apt. 126, Tanyaberg, RI 97789",726,2017-02-04,2023-07-08 00:00:00,regular
C1011,Jonathan Grant,jonathan.grant@outlook.com,(126) 267-2570,"871 Simmons Springs, New Keithborough, IN 71026",606,2017-02-07,2023-03-12 00:00:00,regular
C1012,Amber Butler DDS,amber.dds@yahoo.com,(202) 606-3072,"7711 Scott Center, Matthewhaven, KY 55102",773,2017-02-08,2023-04-04 00:00:00,regular
C1013,Carly Gonzalez,carly.gonzalez@outlook.com,(786) 591-6095,"PSC 4119, Box 1494, APO AA 44352",769,2017-02-12,2023-09-07 00:00:00,regular
C1014,Jeanne Pearson,jeanne.pearson@hotmail.com,(736) 469-4734,"826 Carl Lights, Port Christopherchester, NV 66732",848,2017-02-12,2023-10-26 00:00:00,regular
C1015,Lawrence Walker,lawrence.walker@yahoo.com,(139) 683-1845,"PSC 7281, Box 4699, APO AE 18744",557,2017-02-15,2023-03-12 00:00:00,regular
C1016,Gary Chan,gary.chan@aol.com,(628) 248-0100,"943 Rollins Mountain, South Pamela, RI 90360",628,2017-02-15,2023-12-24 00:00:00,regular
C1017,Matthew Cardenas,matthew.cardenas@hotmail.com,(122) 296-0269,"261 Horn Drive, Port Misty, MS 19574",745,2017-02-16,2023-06-01 00:00:00,VIP
C1018,William Carpenter,william.carpenter@gmail.com,(176) 726-3973,"355 Michael Locks Suite 914, East Nicoleland, NC 99021",539,2017-02-18,2023-04-12 00:00:00,VIP
C1019,Maria Cervantes,maria.cervantes@hotmail.com,(194) 725-8914,"Unit 4511 Box 1359, DPO AA 91524",560,2017-02-19,2023-05-13 00:00:00,regular
C1020,Rhonda Harvey,rhonda.harvey@aol.com,(188) 082-7966,"56345 Buchanan Fords Apt. 361, Davidberg, NV 27967",594,2017-02-20,2023-01-10 00:00:00,regular
